symbol,current_weight,target_weight,delta_weight,notional,side,timestamp_utc
RSP,0.0,0.98,0.98,980000.0,buy,2026-04-29T05:04:28.795076+00:00
RSP,0.0,0.98,0.98,980000.0,buy,2026-04-29T15:15:03.301131+00:00
RSP,0.9804887357756276,0.0,-0.9804887357756276,1005048.743191,sell,2026-05-06T15:16:20.996449+00:00
BIL,0.0,0.98,0.98,1004547.7652,buy,2026-05-06T15:16:20.996449+00:00
BIL,0.9909114119680011,0.0,-0.9909114119680011,1004547.77,sell,2026-05-07T00:11:54.513266+00:00
BIL,0.9796491220959372,0.0,-0.9796491220959372,1004602.705348,sell,2026-05-07T10:35:37.837323+00:00
RSP,0.9803192741332368,0.0,-0.9803192741332368,1001695.557443,sell,2026-05-07T15:18:21.561752+00:00
RSP,0.9798467161826939,0.0,-0.9798467161826939,993761.431213,sell,2026-05-08T02:22:26.849630+00:00
BIL,0.9909153530359187,0.98,-0.010915353035918729,11070.360982000038,sell,2026-05-08T02:22:26.849630+00:00
RSP,0.980093230555515,0.0,-0.980093230555515,1000911.498676,sell,2026-05-08T11:19:58.539066+00:00
RSP,0.006497719743399667,0.0,-0.006497719743399667,6632.730014,sell,2026-05-08T14:27:02.212107+00:00
BIL,0.9736311468986256,0.98,0.006368853101374361,6501.185768000028,buy,2026-05-08T14:27:02.212107+00:00
RSP,0.006493571812761743,0.0,-0.006493571812761743,6628.830511,sell,2026-05-08T22:21:14.748765+00:00
RSP,0.006495279737878022,0.0,-0.006495279737878022,6631.280698,sell,2026-05-11T12:07:11.999282+00:00
BIL,0.9799964478091409,0.0,-0.9799964478091409,1000746.079198,sell,2026-05-14T13:12:24.617419+00:00
RSP,1.353463095784234e-05,0.98,0.9799864653690421,1000735.885398,buy,2026-05-14T13:12:24.617419+00:00
BIL,0.9799964324210316,0.0,-0.9799964324210316,1000744.985488,sell,2026-05-14T13:20:52.785904+00:00
RSP,1.3527995335790962e-05,0.98,0.9799864720046642,1000734.8141889999,buy,2026-05-14T13:20:52.785904+00:00
BIL,0.9799964324210316,0.0,-0.9799964324210316,1000744.985488,sell,2026-05-14T13:34:45.009111+00:00
AMAT,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
AAPL,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
AMD,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
AMZN,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
APD,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
AVGO,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
BLK,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
CAT,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
COST,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
CSCO,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
EOG,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
GOOG,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
GOOGL,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
GS,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
INTC,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
KO,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
LIN,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
MPC,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
MS,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
NEE,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
NVDA,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
ORCL,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
PSX,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
QCOM,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
SBUX,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
SLB,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
TSLA,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
TXN,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
UNH,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
UNP,0.0,0.03266666666666666,0.03266666666666666,33358.287619999996,buy,2026-05-14T13:34:45.009111+00:00
