symbol,qty,market_value,weight
AAPL,112.038322025,33594.242706,0.03326844120178241
AMAT,75.685286443,32755.83512,0.032438164605817124
AMD,76.191791147,32012.742968,0.031702279061896155
AMZN,123.642070933,32473.168047,0.032158238876278326
APD,109.644538699,32386.803841,0.0320727122420156
AVGO,77.755686977,32934.976333,0.03261556848313215
BLK,30.242414077,32719.26779,0.03240195191072358
CAT,36.778710033,32634.484986,0.0323179913418106
COST,32.221040428,33739.743725,0.03341253113224352
CSCO,281.117642105,33171.684986,0.03284998150363692
EOG,247.171680497,34668.299907,0.03433208205094606
GOOG,84.161595519,32996.386723,0.03267638330687363
GOOGL,83.484667951,32997.315008,0.03267730258924028
GS,34.468521063,32637.553224,0.03232102982362397
INTC,291.308034158,31140.828851,0.03083882088579511
KO,416.811969015,33711.752054,0.033384810928250436
LIN,65.055585873,32885.598659,0.03256666968048535
MPC,133.641640959,34169.868957,0.03383848495163529
MS,170.884124788,32896.902863,0.0325778642547878
NEE,353.035135993,32959.360296,0.0326397159671648
NVDA,144.519958392,32431.723863,0.032117196623573714
ORCL,178.788133776,34211.109398,0.033879325437267044
PSX,193.347765605,34067.8763,0.0337374814332017
QCOM,164.572548826,32866.783726,0.0325480372172474
RSP,0.067917457,13.689443,1.3556680932394162e-05
SBUX,307.676535694,32856.746479,0.0325380973128248
SLB,601.073166336,33233.335367,0.03291103399091325
TSLA,75.198218313,31475.718239,0.031170462471268003
TXN,109.450390445,33066.057457,0.03274537836468304
UNH,84.032269441,31550.755884,0.03124477239104949
UNP,125.588952897,33979.347096,0.03364981079738205
WMT,252.42815183,33332.885021,0.033009618198919975
